FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_50TH,PERCENTILE_90TH
2013/2014,Interior,Kootenay Boundary Regional Hospital,Tendon Surgery,,14,4.3,33.9
2013/2014,Interior,Kootenay Boundary Regional Hospital,Thyroidectomy,8,17,4.7,15.5
2013/2014,Interior,Kootenay Boundary Regional Hospital,Tonsillectomy/Adenoidectomy,7,18,50.1,70.2
2013/2014,Interior,Kootenay Boundary Regional Hospital,Tympanoplasty,,8,19.7,46.5
2013/2014,Interior,Kootenay Boundary Regional Hospital,Uterine Surgery,14,81,4.4,15.4
2013/2014,Interior,Kootenay Boundary Regional Hospital,Vaginal Repair,,5,4.3,7.4
2013/2014,Interior,Kootenay Boundary Regional Hospital,Varicose Veins Ligation/Stripping,6,8,39.1,57.5
2013/2014,Interior,Kootenay Boundary Regional Hospital,Vascular Surgery - Other,8,57,1.3,4.9
2013/2014,Interior,Kootenay Lake Hospital,All Other Procedures,10,53,4.3,11.7
2013/2014,Interior,Kootenay Lake Hospital,All Procedures,595,1228,5.6,34.4
2013/2014,Interior,Kootenay Lake Hospital,Bladder Surgery,,8,4.1,8.2
2013/2014,Interior,Kootenay Lake Hospital,Cataract Surgery,523,834,7.6,36.7
2013/2014,Interior,Kootenay Lake Hospital,D&C and Related Surgery,,27,1,11.4
2013/2014,Interior,Kootenay Lake Hospital,Dental Surgery,11,44,5.1,12.4
2013/2014,Interior,Kootenay Lake Hospital,Excision Lesion/Tumour,,,0.1,0.1
2013/2014,Interior,Kootenay Lake Hospital,Fallopian Tube/Ovarian Surgery,5,32,5,8.6
2013/2014,Interior,Kootenay Lake Hospital,Hand/Wrist Surgery,,9,4,6.5
2013/2014,Interior,Kootenay Lake Hospital,Hernia Repair - Abdominal,,14,9.6,33
2013/2014,Interior,Kootenay Lake Hospital,Knee Arthroscopy,,62,2.1,5.3
2013/2014,Interior,Kootenay Lake Hospital,Laparoscopy,6,24,3.1,7.5
2013/2014,Interior,Kootenay Lake Hospital,Other Eye Surgery,,,22,38
2013/2014,Interior,Kootenay Lake Hospital,Other Joint Reconstruction,,,1.4,2
2013/2014,Interior,Kootenay Lake Hospital,Other Orthopaedic Surgery,,15,1,8.9
2013/2014,Interior,Kootenay Lake Hospital,Skin Tumour Removal,,,4.6,8.1
2013/2014,Interior,Kootenay Lake Hospital,Uterine Surgery,17,76,4.9,13
2013/2014,Interior,Kootenay Lake Hospital,Vaginal Repair,,,7.3,11.4
2013/2014,Interior,Lillooet Hospital and Health Centre,All Procedures,,8,5.1,8.7
2013/2014,Interior,Lillooet Hospital and Health Centre,Hand/Wrist Surgery,,,2.9,2.9
2013/2014,Interior,Lillooet Hospital and Health Centre,Hernia Repair - Abdominal,,,8,9.3
2013/2014,Interior,Penticton Regional Hospital,All Other Procedures,39,284,2.9,10.4
2013/2014,Interior,Penticton Regional Hospital,All Procedures,826,3082,4.4,20.1
2013/2014,Interior,Penticton Regional Hospital,Biopsy in OR,,44,2.9,9.9
2013/2014,Interior,Penticton Regional Hospital,Bladder Surgery,19,131,2.6,10.6
2013/2014,Interior,Penticton Regional Hospital,Bowel Resection,9,75,3,5.7
2013/2014,Interior,Penticton Regional Hospital,Breast Biopsy,,53,1.9,4.6
2013/2014,Interior,Penticton Regional Hospital,Cholecystectomy,31,98,6.1,21
2013/2014,Interior,Penticton Regional Hospital,Colostomy/Ileostomy,,30,3.4,8.4
2013/2014,Interior,Penticton Regional Hospital,Cyst/Ganglion Removal,,5,11.6,20.5
2013/2014,Interior,Penticton Regional Hospital,D&C and Related Surgery,7,71,2.1,5.4
2013/2014,Interior,Penticton Regional Hospital,Excision Lesion/Tumour,,10,5,13.7
2013/2014,Interior,Penticton Regional Hospital,Fallopian Tube/Ovarian Surgery,,45,2.4,5.9
2013/2014,Interior,Penticton Regional Hospital,Foot/Ankle Surgery,5,,9.1,11
2013/2014,Interior,Penticton Regional Hospital,Fracture Repair,,,3,8.5
2013/2014,Interior,Penticton Regional Hospital,Hand/Wrist Surgery,42,99,5.7,21.1
2013/2014,Interior,Penticton Regional Hospital,Hernia Repair - Abdominal,73,256,8.2,28.6
2013/2014,Interior,Penticton Regional Hospital,Hernia Repair - Hiatal,,5,9.1,23.2
2013/2014,Interior,Penticton Regional Hospital,Hip Replacement,85,121,10,20.9
2013/2014,Interior,Penticton Regional Hospital,Kidney/Bladder Stone Removal,,79,2,4.9
2013/2014,Interior,Penticton Regional Hospital,Knee - ACL Repair,9,19,7.4,29.2
2013/2014,Interior,Penticton Regional Hospital,Knee Arthroscopy,104,252,7,18.3
2013/2014,Interior,Penticton Regional Hospital,Knee Replacement,110,193,15,24
2013/2014,Interior,Penticton Regional Hospital,Laparoscopy,,38,2.3,7.1
2013/2014,Interior,Penticton Regional Hospital,Laryngoscopy,,10,9.9,22.6
2013/2014,Interior,Penticton Regional Hospital,Male Reproductive Surgery,9,23,17.1,26.3
2013/2014,Interior,Penticton Regional Hospital,Mastectomy,9,114,2.9,5.2
2013/2014,Interior,Penticton Regional Hospital,Mastoidectomy,,5,14.7,23.1
2013/2014,Interior,Penticton Regional Hospital,Nasal Surgery,30,69,10.7,37.2
2013/2014,Interior,Penticton Regional Hospital,Nerve Surgery,,7,4.4,15.2
2013/2014,Interior,Penticton Regional Hospital,Other Joint Reconstruction,16,35,10.3,19.5
2013/2014,Interior,Penticton Regional Hospital,Other Orthopaedic Surgery,35,96,6.4,19.2
2013/2014,Interior,Penticton Regional Hospital,Other Urology Surgery,8,23,4.7,15.4
2013/2014,Interior,Penticton Regional Hospital,Parotidectomy,,7,7,13.9
2013/2014,Interior,Penticton Regional Hospital,Prostate Surgery,16,106,3,9.7
2013/2014,Interior,Penticton Regional Hospital,Rectal Surgery,,17,5.7,17.3
2013/2014,Interior,Penticton Regional Hospital,Shoulder Surgery,31,108,4.3,16.3
2013/2014,Interior,Penticton Regional Hospital,Sinus Surgery,44,82,12.1,41.6
2013/2014,Interior,Penticton Regional Hospital,Skin Surgery,,,8,13
2013/2014,Interior,Penticton Regional Hospital,Skin Tumour Removal,8,36,3.9,10.1
2013/2014,Interior,Penticton Regional Hospital,Thyroidectomy,,16,6.7,14.8
2013/2014,Interior,Penticton Regional Hospital,Tonsillectomy/Adenoidectomy,,10,6.4,21.7
2013/2014,Interior,Penticton Regional Hospital,Tympanoplasty,13,18,20.4,56.8
2013/2014,Interior,Penticton Regional Hospital,Uterine Surgery,12,214,2.3,8.4
2013/2014,Interior,Penticton Regional Hospital,Vaginal Repair,11,72,4.8,20.4
2013/2014,Interior,Penticton Regional Hospital,Varicose Veins Ligation/Stripping,,15,8,21.4
2013/2014,Interior,Penticton Regional Hospital,Vascular Surgery - Other,,24,2,4
2013/2014,Interior,Pleasant Valley Health Centre,All Procedures,761,2042,3.9,18
2013/2014,Interior,Pleasant Valley Health Centre,Cataract Surgery,750,2005,3.9,18.2
2013/2014,Interior,Pleasant Valley Health Centre,Other Eye Surgery,9,19,3.1,15.5
2013/2014,Interior,Pleasant Valley Health Centre,Skin Tumour Removal,,,0.1,0.1
2013/2014,Interior,Queen Victoria Hospital,All Other Procedures,10,12,3,8.7
2013/2014,Interior,Queen Victoria Hospital,All Procedures,51,156,5.1,17.2
2013/2014,Interior,Queen Victoria Hospital,Cyst/Ganglion Removal,,,3.6,6.1
2013/2014,Interior,Queen Victoria Hospital,Fallopian Tube/Ovarian Surgery,,,3.4,3.6
2013/2014,Interior,Queen Victoria Hospital,Hand/Wrist Surgery,8,34,3.9,11.3
2013/2014,Interior,Queen Victoria Hospital,Hernia Repair - Abdominal,8,22,14.8,43.3
2013/2014,Interior,Queen Victoria Hospital,Knee Arthroscopy,14,56,5.4,10.8
2013/2014,Interior,Queen Victoria Hospital,Other Orthopaedic Surgery,,7,5.1,14.1
2013/2014,Interior,Queen Victoria Hospital,Rectal Surgery,,,1.7,1.7
2013/2014,Interior,Queen Victoria Hospital,Tonsillectomy/Adenoidectomy,,,6.9,6.9
2013/2014,Interior,Royal Inland Hospital,Abdominoplasty,,6,4.6,26.7
2013/2014,Interior,Royal Inland Hospital,All Other Procedures,122,630,3.1,22.1
2013/2014,Interior,Royal Inland Hospital,All Procedures,3298,8093,7.9,44
2013/2014,Interior,Royal Inland Hospital,Aortic Aneurysm Repair,,,1.9,2.5
2013/2014,Interior,Royal Inland Hospital,Appendectomy,,,5.1,5.1
2013/2014,Interior,Royal Inland Hospital,Biopsy in OR,,71,1.6,7.6
2013/2014,Interior,Royal Inland Hospital,Bladder Surgery,64,229,3.6,16
2013/2014,Interior,Royal Inland Hospital,Bowel Resection,14,114,2.1,8
2013/2014,Interior,Royal Inland Hospital,Breast Biopsy,7,65,2,6.9
2013/2014,Interior,Royal Inland Hospital,Breast Reconstruction,20,85,6.1,20.4
2013/2014,Interior,Royal Inland Hospital,Breast Reduction,37,145,13.4,36.7
2013/2014,Interior,Royal Inland Hospital,Cataract Surgery,1025,1614,22.6,48.4
2013/2014,Interior,Royal Inland Hospital,Cholecystectomy,52,256,4.4,16.4
2013/2014,Interior,Royal Inland Hospital,Colostomy/Ileostomy,7,27,5,17.8
2013/2014,Interior,Royal Inland Hospital,Cone Biopsy,,8,5.5,9.3
2013/2014,Interior,Royal Inland Hospital,Cranial Surgery,5,36,1.5,15.1
2013/2014,Interior,Royal Inland Hospital,Cyst/Ganglion Removal,,13,6,12.8
2013/2014,Interior,Royal Inland Hospital,D&C and Related Surgery,12,133,3.6,15.4
2013/2014,Interior,Royal Inland Hospital,Dental Surgery,90,160,8.9,30
2013/2014,Interior,Royal Inland Hospital,Examination Under Anaesthetic,,6,1.9,5.1
2013/2014,Interior,Royal Inland Hospital,Excision Lesion/Tumour,,28,2.8,10.1
2013/2014,Interior,Royal Inland Hospital,Fallopian Tube/Ovarian Surgery,11,73,2.3,13.7
2013/2014,Interior,Royal Inland Hospital,Foot/Ankle Surgery,5,10,13,30.4
2013/2014,Interior,Royal Inland Hospital,Foreign Body Removal Surgery,,,8.7,30.9
2013/2014,Interior,Royal Inland Hospital,Fracture Repair,6,48,1.4,12.5
2013/2014,Interior,Royal Inland Hospital,Free Flap Graft,,5,8.6,20.3
2013/2014,Interior,Royal Inland Hospital,Hand/Wrist Surgery,26,72,21,45.3
2013/2014,Interior,Royal Inland Hospital,Hernia Repair - Abdominal,87,326,6.9,23.4
2013/2014,Interior,Royal Inland Hospital,Hernia Repair - Hiatal,,,13.1,40.9
2013/2014,Interior,Royal Inland Hospital,Hip Replacement,273,241,23.3,59.6
2013/2014,Interior,Royal Inland Hospital,Kidney/Bladder Stone Removal,21,76,2.6,11.6
2013/2014,Interior,Royal Inland Hospital,Knee - ACL Repair,32,92,7.1,35.4
2013/2014,Interior,Royal Inland Hospital,Knee Arthroscopy,153,348,9.4,29.2
2013/2014,Interior,Royal Inland Hospital,Knee Replacement,340,381,29.4,53.9
2013/2014,Interior,Royal Inland Hospital,Laparoscopy,6,83,2.4,12.5
2013/2014,Interior,Royal Inland Hospital,Laryngoscopy,,6,2.4,12.1
2013/2014,Interior,Royal Inland Hospital,Lens & Vitreous (non-cataract) Surgery,38,240,2.1,11.9
2013/2014,Interior,Royal Inland Hospital,Ligament Surgery,,5,24.6,39.9
2013/2014,Interior,Royal Inland Hospital,Lipectomy,,10,8.6,16.9
2013/2014,Interior,Royal Inland Hospital,Male Reproductive Surgery,16,34,15.2,33.7
2013/2014,Interior,Royal Inland Hospital,Mastectomy,18,176,1.9,6.6
2013/2014,Interior,Royal Inland Hospital,Mastoidectomy,6,11,2.9,28.1
2013/2014,Interior,Royal Inland Hospital,Myringotomy,,,4.9,7.4
2013/2014,Interior,Royal Inland Hospital,Nasal Surgery,51,56,49,117
2013/2014,Interior,Royal Inland Hospital,Nerve Surgery,148,181,22.1,50
2013/2014,Interior,Royal Inland Hospital,Other Eye Surgery,,,0.1,0.3
2013/2014,Interior,Royal Inland Hospital,Other Joint Reconstruction,32,62,21,51.3
2013/2014,Interior,Royal Inland Hospital,Other Orthopaedic Surgery,135,259,9,41
2013/2014,Interior,Royal Inland Hospital,Other Urology Surgery,18,93,4.6,13.7
2013/2014,Interior,Royal Inland Hospital,Parotidectomy,5,12,3.1,10.1
2013/2014,Interior,Royal Inland Hospital,Prostate Surgery,55,188,5.6,14.9
2013/2014,Interior,Royal Inland Hospital,Rectal Surgery,14,58,7,31.9
2013/2014,Interior,Royal Inland Hospital,Shoulder Surgery,28,146,13.3,59.1
2013/2014,Interior,Royal Inland Hospital,Shunt Insertion/Removal,,6,2.7,8.1
2013/2014,Interior,Royal Inland Hospital,Sinus Surgery,31,34,25.6,80.6
2013/2014,Interior,Royal Inland Hospital,Skin Surgery,,26,3.4,12.1
2013/2014,Interior,Royal Inland Hospital,Skin Tumour Removal,17,56,4.9,18.4
2013/2014,Interior,Royal Inland Hospital,Spinal/Back Surgery,105,260,14.6,47.6
2013/2014,Interior,Royal Inland Hospital,Tendon Surgery,15,66,4.1,28.6
2013/2014,Interior,Royal Inland Hospital,Thyroidectomy,12,34,3.2,10.9
2013/2014,Interior,Royal Inland Hospital,Tonsillectomy/Adenoidectomy,34,55,29.3,92.2
2013/2014,Interior,Royal Inland Hospital,Tympanoplasty,6,23,22.9,72.3
2013/2014,Interior,Royal Inland Hospital,Uterine Surgery,28,307,4,11.9
2013/2014,Interior,Royal Inland Hospital,Vaginal Repair,6,63,5.3,16.7
2013/2014,Interior,Royal Inland Hospital,Varicose Veins Ligation/Stripping,14,41,7,52.6
2013/2014,Interior,Royal Inland Hospital,Vascular Bypass Graft - Non Cardiac,11,56,3,22.9
2013/2014,Interior,Royal Inland Hospital,Vascular Surgery - Other,8,86,1.1,4
2013/2014,Interior,Shuswap Lake General Hospital,All Other Procedures,13,92,4.9,14.9
2013/2014,Interior,Shuswap Lake General Hospital,All Procedures,201,1077,5.9,16.9
2013/2014,Interior,Shuswap Lake General Hospital,Biopsy in OR,,16,4.8,15.1
2013/2014,Interior,Shuswap Lake General Hospital,Bladder Surgery,,16,7.4,13.1
2013/2014,Interior,Shuswap Lake General Hospital,Bowel Resection,5,29,3,5.4
2013/2014,Interior,Shuswap Lake General Hospital,Cholecystectomy,11,81,3.1,11.6
2013/2014,Interior,Shuswap Lake General Hospital,Dental Surgery,,11,15.1,24.1
2013/2014,Interior,Shuswap Lake General Hospital,Fallopian Tube/Ovarian Surgery,,6,8.4,9.9
2013/2014,Interior,Shuswap Lake General Hospital,Foot/Ankle Surgery,,5,16.9,31
2013/2014,Interior,Shuswap Lake General Hospital,Foreign Body Removal Surgery,,9,5,8.2
2013/2014,Interior,Shuswap Lake General Hospital,Free Flap Graft,,,2,5.1
2013/2014,Interior,Shuswap Lake General Hospital,Hand/Wrist Surgery,19,91,6.3,20
2013/2014,Interior,Shuswap Lake General Hospital,Hernia Repair - Abdominal,35,156,6,14
2013/2014,Interior,Shuswap Lake General Hospital,Hernia Repair - Hiatal,,,6.5,13.4
2013/2014,Interior,Shuswap Lake General Hospital,Knee Arthroscopy,43,239,7.9,18
2013/2014,Interior,Shuswap Lake General Hospital,Laparoscopy,,14,2.9,7.7
2013/2014,Interior,Shuswap Lake General Hospital,Male Reproductive Surgery,,8,4.3,7.5
2013/2014,Interior,Shuswap Lake General Hospital,Mastectomy,,25,2.9,6.9
2013/2014,Interior,Shuswap Lake General Hospital,Nerve Surgery,,8,5.4,31.2
2013/2014,Interior,Shuswap Lake General Hospital,Other Joint Reconstruction,,,10.2,19
2013/2014,Interior,Shuswap Lake General Hospital,Other Orthopaedic Surgery,16,81,6.4,17.1
2013/2014,Interior,Shuswap Lake General Hospital,Other Urology Surgery,,6,6.5,12.7
2013/2014,Interior,Shuswap Lake General Hospital,Rectal Surgery,,18,3.8,16
2013/2014,Interior,Shuswap Lake General Hospital,Skin Surgery,,,7,7
2013/2014,Interior,Shuswap Lake General Hospital,Skin Tumour Removal,,59,4.9,7.6
2013/2014,Interior,Shuswap Lake General Hospital,Uterine Surgery,,10,8.9,20.5
2013/2014,Interior,Shuswap Lake General Hospital,Vaginal Repair,5,,12.4,19.8
2013/2014,Interior,Shuswap Lake General Hospital,Varicose Veins Ligation/Stripping,16,23,17.6,34.4
2013/2014,Interior,Shuswap Lake General Hospital,Wound/Laceration Care,,10,2.4,14.4
2013/2014,Interior,Summerland Memorial Health Centre,All Other Procedures,,17,9.1,16.4
2013/2014,Interior,Summerland Memorial Health Centre,All Procedures,456,1834,3.7,16
2013/2014,Interior,Summerland Memorial Health Centre,Biopsy in OR,,17,3,12.5
2013/2014,Interior,Summerland Memorial Health Centre,Cataract Surgery,352,1491,3,12.1
2013/2014,Interior,Summerland Memorial Health Centre,Dental Surgery,18,46,16.4,30.4
2013/2014,Interior,Summerland Memorial Health Centre,Free Flap Graft,,10,1.9,5
2013/2014,Interior,Summerland Memorial Health Centre,Myringotomy,,,1.6,2.5
2013/2014,Interior,Summerland Memorial Health Centre,Nasal Surgery,56,134,14.3,27.8
2013/2014,Interior,Summerland Memorial Health Centre,Other Eye Surgery,,23,3.1,9.1
2013/2014,Interior,Summerland Memorial Health Centre,Sinus Surgery,7,43,14.7,27.2
2013/2014,Interior,Summerland Memorial Health Centre,Tonsillectomy/Adenoidectomy,13,26,8,24.2
2013/2014,Interior,Vernon Jubilee Hospital,All Other Procedures,95,398,4.6,20.4
2013/2014,Interior,Vernon Jubilee Hospital,All Procedures,2003,3939,7.9,43.1
2013/2014,Interior,Vernon Jubilee Hospital,Biopsy in OR,18,93,2.9,17.9
2013/2014,Interior,Vernon Jubilee Hospital,Bladder Surgery,24,211,3.6,20.6
2013/2014,Interior,Vernon Jubilee Hospital,Bowel Resection,13,100,2.5,12
2013/2014,Interior,Vernon Jubilee Hospital,Breast Biopsy,5,24,2.6,3.7
2013/2014,Interior,Vernon Jubilee Hospital,Cholecystectomy,49,181,6.4,22
2013/2014,Interior,Vernon Jubilee Hospital,Colostomy/Ileostomy,8,29,10.4,28.1
2013/2014,Interior,Vernon Jubilee Hospital,Cyst/Ganglion Removal,,10,19.8,40.6
2013/2014,Interior,Vernon Jubilee Hospital,D&C and Related Surgery,25,157,7.1,31.1
2013/2014,Interior,Vernon Jubilee Hospital,Dental Surgery,33,15,61.3,84.4
2013/2014,Interior,Vernon Jubilee Hospital,Examination Under Anaesthetic,,,8.6,26.2
2013/2014,Interior,Vernon Jubilee Hospital,Excision Lesion/Tumour,,18,3,7.9
2013/2014,Interior,Vernon Jubilee Hospital,Fallopian Tube/Ovarian Surgery,15,74,8.5,47.5
2013/2014,Interior,Vernon Jubilee Hospital,Foot/Ankle Surgery,6,21,17.6,42.1
2013/2014,Interior,Vernon Jubilee Hospital,Foreign Body Removal Surgery,,,3.9,5.1
2013/2014,Interior,Vernon Jubilee Hospital,Fracture Repair,,16,3.6,17.4
2013/2014,Interior,Vernon Jubilee Hospital,Gastrostomy/Jejunostomy,,,2.6,3.6
2013/2014,Interior,Vernon Jubilee Hospital,Hand/Wrist Surgery,7,26,24.1,39.6
2013/2014,Interior,Vernon Jubilee Hospital,Hernia Repair - Abdominal,229,406,17.9,39.6
2013/2014,Interior,Vernon Jubilee Hospital,Hernia Repair - Hiatal,13,12,26,51.5
2013/2014,Interior,Vernon Jubilee Hospital,Hip Replacement,191,169,25.6,62
2013/2014,Interior,Vernon Jubilee Hospital,Kidney/Bladder Stone Removal,,30,2.9,9.7
2013/2014,Interior,Vernon Jubilee Hospital,Knee - ACL Repair,28,35,36.9,98.3
2013/2014,Interior,Vernon Jubilee Hospital,Knee Arthroscopy,55,107,12.4,49.5
2013/2014,Interior,Vernon Jubilee Hospital,Knee Replacement,416,245,40,69.7
2013/2014,Interior,Vernon Jubilee Hospital,Laparoscopy,,32,7.1,21.5
2013/2014,Interior,Vernon Jubilee Hospital,Laparotomy,,9,2.3,8.1
2013/2014,Interior,Vernon Jubilee Hospital,Ligament Surgery,,,70.1,70.1
2013/2014,Interior,Vernon Jubilee Hospital,Male Reproductive Surgery,,29,2.4,8.5
2013/2014,Interior,Vernon Jubilee Hospital,Mastectomy,,111,2,7.3
2013/2014,Interior,Vernon Jubilee Hospital,Mastoidectomy,12,5,11.6,12.5
2013/2014,Interior,Vernon Jubilee Hospital,Nasal Surgery,28,12,6.4,20.3
2013/2014,Interior,Vernon Jubilee Hospital,Nerve Surgery,,,6.4,9.4
2013/2014,Interior,Vernon Jubilee Hospital,Other Joint Reconstruction,35,64,19.5,37.8
2013/2014,Interior,Vernon Jubilee Hospital,Other Orthopaedic Surgery,53,143,10.7,32.9
2013/2014,Interior,Vernon Jubilee Hospital,Other Urology Surgery,20,95,4,9.8
2013/2014,Interior,Vernon Jubilee Hospital,Parotidectomy,,,18.3,21.9
2013/2014,Interior,Vernon Jubilee Hospital,Prostate Surgery,37,136,4.3,35.6
2013/2014,Interior,Vernon Jubilee Hospital,Rectal Surgery,38,63,19.4,44
2013/2014,Interior,Vernon Jubilee Hospital,Shoulder Surgery,194,87,90.1,106.5
2013/2014,Interior,Vernon Jubilee Hospital,Sinus Surgery,55,23,29.9,37.3
2013/2014,Interior,Vernon Jubilee Hospital,Skin Surgery,,5,3.4,11.3
2013/2014,Interior,Vernon Jubilee Hospital,Skin Tumour Removal,20,48,4,38.7
2013/2014,Interior,Vernon Jubilee Hospital,Sphincterotomy,6,10,30.4,45.6
2013/2014,Interior,Vernon Jubilee Hospital,Spinal/Back Surgery,53,147,6.9,32.2
2013/2014,Interior,Vernon Jubilee Hospital,Tendon Surgery,54,28,4.3,72.3
2013/2014,Interior,Vernon Jubilee Hospital,Thyroidectomy,5,27,5.7,18.2
2013/2014,Interior,Vernon Jubilee Hospital,Tonsillectomy/Adenoidectomy,17,15,8,13.6
2013/2014,Interior,Vernon Jubilee Hospital,Tympanoplasty,18,,6.9,7
2013/2014,Interior,Vernon Jubilee Hospital,Uterine Surgery,65,319,4.7,25.2
2013/2014,Interior,Vernon Jubilee Hospital,Vaginal Repair,9,51,13.4,38.4
2013/2014,Interior,Vernon Jubilee Hospital,Varicose Veins Ligation/Stripping,12,27,26.9,45.2
2013/2014,Interior,Vernon Jubilee Hospital,Vascular Surgery - Other,5,32,2.2,6.3
2013/2014,Interior,Vernon Jubilee Hospital,Wound/Laceration Care,,,4.9,19.4
2013/2014,Northern,All Facilities,Abdominoplasty,,12,2.6,4.1
2013/2014,Northern,All Facilities,All Other Procedures,220,2451,4.4,13.9
2013/2014,Northern,All Facilities,All Procedures,2893,13272,5,23.1
2013/2014,Northern,All Facilities,Aortic Aneurysm Repair,,21,3.3,12
2013/2014,Northern,All Facilities,Appendectomy,,7,3.1,9.2
2013/2014,Northern,All Facilities,Bariatric Surgery,,,10.3,13.8
2013/2014,Northern,All Facilities,Biopsy in OR,10,93,2.1,8.9
2013/2014,Northern,All Facilities,Bladder Surgery,29,200,3,17.1
2013/2014,Northern,All Facilities,Bowel Resection,27,151,3,8.1
2013/2014,Northern,All Facilities,Breast Biopsy,12,113,2.1,4.6
2013/2014,Northern,All Facilities,Breast Reconstruction,7,48,4.5,14.9
2013/2014,Northern,All Facilities,Breast Reduction,53,76,7.6,18.4
2013/2014,Northern,All Facilities,Cataract Surgery,719,1907,13.4,38.4
2013/2014,Northern,All Facilities,Cholecystectomy,110,487,4.3,16.9
